"Season","date","Player","playerID","toTeam","toTeamID","toTeamabbr","toLeague","toOrg","toSport","fromTeam","fromTeamID","fromTeamabbr","fromLeague","fromOrg","fromSport","typeDesc","description","WAR","PlayerName","Age","AVG","position","ERA","lagWAR","lagAVG","lagERA","lagWinpcttoTeam","lagWinpctfromTeam"
2010,"2010-01-22",NA,0,"New York Mets",121,"NYM","National League",NA,"Major League Baseball","Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Trade","Los Angeles Angels traded cash and CF Gary Matthews to New York Mets for RHP Brian Stokes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,0.599
2010,"2010-01-26","Greg Golson",449172,"New York Yankees",147,"NYY","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Tampa Yankees Traded 1B Mitch Hilligoss to Bakersfield Blaze and Texas Rangers Traded RF Greg Golson to New York Yankees.",0.1042,"Greg Golson",24,0.2609,"OF",NA,-0.0206,0,NA,0.636,0.537
2010,"2010-02-01","Aaron Miles",425446,"Cincinnati Reds",113,"CIN","National League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.",0.0565,"Aaron Miles",33,0.2806,"2B",0,-1.4398,0.1847,NA,0.481,0.463
2010,"2010-02-01","Willy Taveras",430838,"Athletics",133,"ATH","American League",NA,"Major League Baseball","Cincinnati Reds",113,"CIN","National League",NA,"Major League Baseball","Trade","Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.",-0.1771,"Willy Taveras",28,0.2,"OF",NA,0.074,0.2401,NA,0.463,0.481
2010,"2010-02-01","Adam Rosales",489267,"Athletics",133,"ATH","American League",NA,"Major League Baseball","Cincinnati Reds",113,"CIN","National League",NA,"Major League Baseball","Trade","Cincinnati Reds traded 2B Adam Rosales and Willy Taveras to Oakland Athletics for 2B Aaron Miles.",1.6341,"Adam Rosales",27,0.2706,"2B/3B/SS",NA,-0.2331,0.213,NA,0.463,0.481
2010,"2010-02-06","Dana Eveland",445968,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Oakland Athletics traded LHP Dana Eveland to Toronto Blue Jays.",-0.0257,"Dana Eveland",26,0,"P",6.7914,0.1496,0,7.1591,0.463,0.463
2010,"2010-03-09","Edwar Ramirez",469735,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","New York Yankees",147,"NYY","American League",NA,"Major League Baseball","Trade","New York Yankees traded RHP Edwar Ramirez to Texas Rangers.",-0.0678,"Edwar Ramirez",29,0,"P",4.9091,-0.3731,0,5.7273,0.537,0.636
2010,"2010-03-18","Miguel Celestino",517530,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded RHP Miguel Celestino to Boston Red Sox.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586,0.525
2010,"2010-03-22","Ray Olmedo",408232,"Nashville Sounds",556,"NAS","International League","Milwaukee Brewers","Triple-A","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Milwaukee Brewers Traded C Matt Treanor to Oklahoma City RedHawks and Texas Rangers Traded SS Ray Olmedo to Nashville Sounds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537
2010,"2010-03-22","Matt Treanor",276354,"Oklahoma City Comets",238,"OKC","Pacific Coast League","Los Angeles Dodgers","Triple-A","Milwaukee Brewers",158,"MIL","National League",NA,"Major League Baseball","Trade","Milwaukee Brewers Traded C Matt Treanor to Oklahoma City RedHawks and Texas Rangers Traded SS Ray Olmedo to Nashville Sounds.",-0.1312,"Matt Treanor",34,0.211,"C",NA,-0.3617,0,NA,NA,0.494
2010,"2010-03-24","Edwar Ramirez",469735,"Athletics",133,"ATH","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Texas Rangers traded RHP Edwar Ramirez to Oakland Athletics for SS Gregorio Petit.",-0.0678,"Edwar Ramirez",29,0,"P",4.9091,-0.3731,0,5.7273,0.463,0.537
2010,"2010-03-24","Gregorio Petit",463610,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Texas Rangers traded RHP Edwar Ramirez to Oakland Athletics for SS Gregorio Petit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537,0.463
2010,"2010-03-26","Kevin Frandsen",435623,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","San Francisco Giants",137,"SF","National League",NA,"Major League Baseball","Trade","San Francisco Giants traded 2B Kevin Frandsen to Boston Red Sox.",-0.5767,"Kevin Frandsen",28,0.25,"2B/3B",NA,-0.3683,0.14,NA,0.586,0.543
2010,"2010-03-27","Andrés Blanco",433217,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Chicago Cubs",112,"CHC","National League",NA,"Major League Baseball","Trade","Chicago Cubs traded 2B Andres Blanco to Texas Rangers.",-0.0237,"Andrés Blanco",26,0.2771,"2B/SS",NA,-0.0713,0.252,NA,0.537,0.516
2010,"2010-03-30","Nate Robertson",425146,"Miami Marlins",146,"MIA","National League",NA,"Major League Baseball","Detroit Tigers",116,"DET","American League",NA,"Major League Baseball","Trade","Jacksonville Suns Traded LHP Jay Voss to Erie SeaWolves and Detroit Tigers Traded LHP Nate Robertson to Florida Marlins.",0.6156,"Nate Robertson",32,0.1923,"P",5.9507,0.4675,0,5.4362,0.537,0.528
2010,"2010-04-01","Julio Lugo",150061,"Baltimore Orioles",110,"BAL","American League",NA,"Major League Baseball","St. Louis Cardinals",138,"STL","National League",NA,"Major League Baseball","Trade","St. Louis Cardinals traded 2B Julio Lugo to Baltimore Orioles.",-0.5114,"Julio Lugo",34,0.249,"SS",NA,-0.2167,0.2802,NA,0.395,0.562
2010,"2010-04-02","Luis Mendoza",434669,"Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Texas Rangers traded RHP Luis Mendoza to Kansas City Royals.",-0.6097,"Luis Mendoza",26,0,"P",22.5,-0.0916,0,36,0.401,0.537
2010,"2010-04-02","Virgil Vasquez",446911,"Durham Bulls",234,"DUR","International League","Tampa Bay Rays","Triple-A","Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","Trade","Pittsburgh Pirates traded RHP Virgil Vasquez to Durham Bulls.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385
2010,"2010-04-15","Fred Lewis",430930,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","San Francisco Giants",137,"SF","National League",NA,"Major League Baseball","Trade","San Francisco Giants traded LF Fred Lewis to Toronto Blue Jays.",0.4056,"Fred Lewis",29,0.2617,"OF",NA,1.2242,0.2576,NA,0.463,0.543
2010,"2010-04-20","Andrew Dobies",452772,"Chicago White Sox",145,"CWS","American League",NA,"Major League Baseball","Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Trade","Boston Red Sox traded LHP Andrew Dobies to Chicago White Sox.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.586
2010,"2010-04-24","Jonathan Van Every",457508,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Indianapolis Indians",484,"IND","International League","Pittsburgh Pirates","Triple-A","Trade","Indianapolis Indians traded CF Jonathan Van Every to Boston Red Sox.",0.0316,"Jonathan Van Every",30,0.2105,"OF",18,0.1679,0.3636,0,0.586,NA
2010,"2010-04-30","Rafael Vera",489399,"Chicago White Sox",145,"CWS","American League",NA,"Major League Baseball","Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Trade","Cleveland Indians traded 1B Rafael Vera to Chicago White Sox.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.401
2010,"2010-05-02","Carlos Rosa",460349,"Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Trade","Visalia Rawhide Traded SS Rey Navarro to Wilmington Blue Rocks and Kansas City Royals Traded RHP Carlos Rosa to Arizona Diamondbacks.",-0.0931,"Carlos Rosa",25,0,"P",4.5,0.0098,0,3.375,0.432,0.401
2010,"2010-05-04","Buck Coats",459714,"Chicago White Sox",145,"CWS","American League",NA,"Major League Baseball","Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Trade","Kansas City Royals traded Player To Be Named Later to Chicago White Sox.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.401
2010,"2010-05-17","Saul Rivera",346800,"Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Trade","Cleveland Indians traded RHP Saul Rivera to Arizona Diamondbacks for cash.",-0.186,"Saul Rivera",32,0,"P",22.0909,-0.3799,0.3333,6.1043,0.432,0.401
2010,"2010-05-17",NA,0,"Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Trade","Cleveland Indians traded RHP Saul Rivera to Arizona Diamondbacks for cash.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401,0.432
2010,"2010-06-01","Billy Buckner",434438,"Detroit Tigers",116,"DET","American League",NA,"Major League Baseball","Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Trade","Arizona Diamondbacks traded RHP Billy Buckner to Detroit Tigers for LHP Dontrelle Willis.",-0.1967,"Billy Buckner",26,0.25,"P",11.0769,0.6543,0.2381,6.4009,0.528,0.432
2010,"2010-06-01","Dontrelle Willis",425883,"Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Detroit Tigers",116,"DET","American League",NA,"Major League Baseball","Trade","Arizona Diamondbacks traded RHP Billy Buckner to Detroit Tigers for LHP Dontrelle Willis.",-0.0853,"Dontrelle Willis",28,0.1667,"P",5.6193,-0.1176,0,7.4851,0.432,0.528
2010,"2010-06-01","Ronald Uviedo",468476,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","Trade","Toronto Blue Jays traded LHP Dana Eveland to Pittsburgh Pirates for RHP Ronald Uviedo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.385
2010,"2010-06-01","Dana Eveland",445968,"Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Trade","Toronto Blue Jays traded LHP Dana Eveland to Pittsburgh Pirates for RHP Ronald Uviedo.",-0.0257,"Dana Eveland",26,0,"P",6.7914,0.1496,0,7.1591,0.385,0.463
2010,"2010-06-15","Sam Demel",451585,"Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Arizona Diamondbacks traded LF Conor Jackson to Oakland Athletics for Sam Demel.",0.0037,"Sam Demel",24,0,"P",5.3514,NA,NA,NA,0.432,0.463
2010,"2010-06-15","Conor Jackson",433582,"Athletics",133,"ATH","American League",NA,"Major League Baseball","Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Trade","Arizona Diamondbacks traded LF Conor Jackson to Oakland Athletics for Sam Demel.",0.2916,"Conor Jackson",28,0.2356,"1B/OF",NA,-0.9262,0.1818,NA,0.463,0.432
2010,"2010-06-19","Adam Davis",502090,"Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Trade","Cleveland Indians traded 3B Adam Davis to Pittsburgh Pirates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.401
2010,"2010-06-19","Jorge Padilla",407786,"New York Mets",121,"NYM","National League",NA,"Major League Baseball","Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Trade","Toronto Blue Jays traded OF Jorge Padilla to New York Mets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432,0.463
2010,"2010-06-22","Jake Fox",444844,"Baltimore Orioles",110,"BAL","American League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Oakland Athletics Traded C Jake Fox to Baltimore Orioles and Norfolk Tides Traded RHP Ross Wolf to Sacramento River Cats.",-0.8204,"Jake Fox",27,0.2172,"OF",NA,0.0745,0.2593,NA,0.395,0.463
2010,"2010-06-22","Chris Aguila",430894,"Philadelphia Phillies",143,"PHI","National League",NA,"Major League Baseball","Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Trade","Toronto Blue Jays traded OF Chris Aguila to Philadelphia Phillies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.574,0.463
2010,"2010-06-26","Jared Price",444919,"Athletics",133,"ATH","American League",NA,"Major League Baseball","Chicago White Sox",145,"CWS","American League",NA,"Major League Baseball","Trade","Chicago White Sox traded C Jared Price to Oakland Athletics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463,0.488
2010,"2010-06-27","Ezequiel Carrera",485567,"Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Cleveland Indians Traded 1B Russell Branyan to Seattle Mariners; High Desert Mavericks Traded SS Juan Diaz to Kinston Indians and Seattle Mariners Traded CF Ezequiel Carrera to Cleveland Indians.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401,0.525
2010,"2010-06-27","Eric Patterson",452221,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Salem Red Sox Traded LHP Fabian Williamson to Stockton Ports and Oakland Athletics Traded CF Eric Patterson to Boston Red Sox.",-0.2939,"Eric Patterson",27,0.2139,"2B/OF",NA,0.3246,0.2872,NA,0.586,0.463
2010,"2010-06-27","Russell Branyan",137140,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Cleveland Guardians",114,"CLE","American League",NA,"Major League Baseball","Trade","Cleveland Indians Traded 1B Russell Branyan to Seattle Mariners; High Desert Mavericks Traded SS Juan Diaz to Kinston Indians and Seattle Mariners Traded CF Ezequiel Carrera to Cleveland Indians.",2.1135,"Russell Branyan",34,0.2367,"1B/3B",NA,2.7132,0.2506,NA,0.525,0.401
2010,"2010-06-28","Michael Richard",519192,"Chicago White Sox",145,"CWS","American League",NA,"Major League Baseball","Athletics",133,"ATH","American League",NA,"Major League Baseball","Trade","Oakland Athletics traded 2B Michael Richard to Chicago White Sox.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,0.463
2010,"2010-07-01","Kevin Cash",408211,"Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Houston Astros",117,"HOU","American League",NA,"Major League Baseball","Trade","Houston Astros traded C Kevin Cash to Boston Red Sox for SS Angel Sanchez.",-1.1093,"Kevin Cash",32,0.1667,"C",9,-0.1001,0.2308,NA,0.586,0.457
2010,"2010-07-01","Angel Sanchez",447816,"Houston Astros",117,"HOU","American League",NA,"Major League Baseball","Boston Red Sox",111,"BOS","American League",NA,"Major League Baseball","Trade","Houston Astros traded C Kevin Cash to Boston Red Sox for SS Angel Sanchez.",-0.7248,"Angel Sanchez",26,0.2767,"SS",NA,NA,NA,NA,0.457,0.586
2010,"2010-07-01","Chris Ray",444884,"San Francisco Giants",137,"SF","National League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Frisco RoughRiders Traded RHP Michael Main to Richmond Flying Squirrels; Texas Rangers Traded RHP Chris Ray to San Francisco Giants and San Francisco Giants Traded C Bengie Molina to Texas Rangers.",-0.0302,"Chris Ray",28,0,"P",3.7186,-0.2922,0,7.2692,0.543,0.537
2010,"2010-07-01","Bengie Molina",134260,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","San Francisco Giants",137,"SF","National League",NA,"Major League Baseball","Trade","Frisco RoughRiders Traded RHP Michael Main to Richmond Flying Squirrels; Texas Rangers Traded RHP Chris Ray to San Francisco Giants and San Francisco Giants Traded C Bengie Molina to Texas Rangers.",-1.1143,"Bengie Molina",35,0.2493,"C",NA,1.0629,0.2648,NA,0.537,0.543
2010,"2010-07-04","Edwin Bellorin",431143,"Houston Astros",117,"HOU","American League",NA,"Major League Baseball","Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Trade","Kansas City Royals traded C Edwin Bellorin to Houston Astros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457,0.401
2010,"2010-07-07","Sean Gallagher",451595,"Pittsburgh Pirates",134,"PIT","National League",NA,"Major League Baseball","San Diego Padres",135,"SD","National League",NA,"Major League Baseball","Trade","San Diego Padres traded RHP Sean Gallagher to Pittsburgh Pirates.",-0.6882,"Sean Gallagher",24,0,"P",5.7746,0.0745,0,5.9492,0.385,0.463
2010,"2010-07-09","Justin Smoak",475253,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",-0.4403,"Justin Smoak",23,0.2184,"1B",NA,NA,NA,NA,0.525,0.537
2010,"2010-07-09","Mark Lowe",450275,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",-0.0179,"Mark Lowe",27,0,"P",5.4,1.2169,0,3.2625,0.537,0.525
2010,"2010-07-09","Josh Lueke",518961,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.537
2010,"2010-07-09","Matt Lawson",518926,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.537
2010,"2010-07-09","Blake Beavan",518444,"Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525,0.537
2010,"2010-07-09","Cliff Lee",424324,"Texas Rangers",140,"TEX","American League",NA,"Major League Baseball","Seattle Mariners",136,"SEA","American League",NA,"Major League Baseball","Trade","Seattle Mariners traded LHP Cliff Lee and RHP Mark Lowe to Texas Rangers for RHP Blake Beavan, RHP Josh Lueke, 1B Justin Smoak and 2B Matt Lawson.",7.2902,"Cliff Lee",31,0,"P",3.179,6.5111,0.1842,3.2245,0.537,0.525
2010,"2010-07-14","Alex Gonzalez",136460,"Atlanta Braves",144,"ATL","National League",NA,"Major League Baseball","Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Trade","Dunedin Blue Jays Traded SS Tyler Pastornicky to Mississippi Braves; Atlanta Braves Traded LHP Jo-Jo Reyes and SS Yunel Escobar to Toronto Blue Jays; Toronto Blue Jays Traded SS Alex Gonzalez to Atlanta Braves and New Hampshire Fisher Cats Traded LHP Tim Collins to Mississippi Braves.",2.9524,"Alex Gonzalez",33,0.2504,"SS",NA,0.3284,0.2379,NA,0.531,0.463
2010,"2010-07-14","Jo-Jo Reyes",457456,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Atlanta Braves",144,"ATL","National League",NA,"Major League Baseball","Trade","Dunedin Blue Jays Traded SS Tyler Pastornicky to Mississippi Braves; Atlanta Braves Traded LHP Jo-Jo Reyes and SS Yunel Escobar to Toronto Blue Jays; Toronto Blue Jays Traded SS Alex Gonzalez to Atlanta Braves and New Hampshire Fisher Cats Traded LHP Tim Collins to Mississippi Braves.",-0.1236,"Jo-Jo Reyes",25,0,"P",24.3,0.0071,0.1111,7,0.463,0.531
2010,"2010-07-14","Yunel Escobar",488862,"Toronto Blue Jays",141,"TOR","American League",NA,"Major League Baseball","Atlanta Braves",144,"ATL","National League",NA,"Major League Baseball","Trade","Dunedin Blue Jays Traded SS Tyler Pastornicky to Mississippi Braves; Atlanta Braves Traded LHP Jo-Jo Reyes and SS Yunel Escobar to Toronto Blue Jays; Toronto Blue Jays Traded SS Alex Gonzalez to Atlanta Braves and New Hampshire Fisher Cats Traded LHP Tim Collins to Mississippi Braves.",1.7113,"Yunel Escobar",27,0.2555,"3B/SS",NA,3.8691,0.2992,NA,0.463,0.531
2010,"2010-07-22","Alberto Callaspo",430948,"Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Trade","Kansas City Royals traded 3B Alberto Callaspo to Los Angeles Angels for RHP Sean O'Sullivan and LHP Will Smith.",0.8413,"Alberto Callaspo",27,0.2651,"2B/3B",NA,1.9037,0.3003,NA,0.599,0.401
2010,"2010-07-22","Sean O'Sullivan",457711,"Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Trade","Kansas City Royals traded 3B Alberto Callaspo to Los Angeles Angels for RHP Sean O'Sullivan and LHP Will Smith.",-0.2331,"Sean O'Sullivan",22,0,"P",5.4861,-0.2243,0.3333,5.9226,0.401,0.599
2010,"2010-07-22","Will Smith",519293,"Kansas City Royals",118,"KC","American League",NA,"Major League Baseball","Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Trade","Kansas City Royals traded 3B Alberto Callaspo to Los Angeles Angels for RHP Sean O'Sullivan and LHP Will Smith.",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401,0.599
2010,"2010-07-25","Joe Saunders",434578,"Arizona Diamondbacks",109,"AZ","National League",NA,"Major League Baseball","Los Angeles Angels",108,"LAA","American League",NA,"Major League Baseball","Trade","Arizona Diamondbacks Traded RHP Dan Haren to Los Angeles Angels; Los Angeles Angels Traded LHP Joe Saunders and RHP Rafael Rodriguez to Arizona Diamondbacks and Rancho Cucamonga Quakes Traded LHP Patrick Corbin to Visalia Rawhide.",1.0703,"Joe Saunders",29,0.0833,"P",4.4705,0.9673,0,4.5968,0.432,0.599
